#dbid	Lifestyle	more notes	defaultAnalysisTrack	Organism	TaxonomyID	NCBI_name
Aaoar1	Unknown	possibly a saprophyte or weak pathogen	FilteredModels1	Aaosphaeria arxii CBS 175.79 v1.0	1450172	Aaosphaeria arxii CBS 175.79
Aciri1_meta	acidophilic and thermophilic		FilteredModels1	Acidomyces richmondensis BFW	766039	Acidomyces richmondensis BFW
Altal1	pathogenic and saprophytic		FilteredModels1	Alternaria alternata SRC1lrK2f v1.0	5599	Alternaria alternata
Altbr1	pathogenic and saprophytic		External_gene_models	Alternaria brassicicola	29001	Alternaria brassicicola
Amnli1	aquatic saprophyte		FilteredModels1	Amniculicola lignicola CBS 123094 v1.0	1392246	Amniculicola lignicola CBS 123094
Aplpr1	saprophyte		FilteredModels1	Aplosporella prunicola CBS 121.167 v1.0	462254	Aplosporella prunicola
Aulhe2	saprophyte		FilteredModels1	Aulographum hederae v2.0	1176131	Aulographum hederae CBS 113979
Aurpu_var_mel1	saprophyte	Also found in arctic glaciers	FilteredModels1	Aureobasidium pullulans var. melanogenum CBS 110374	1043003	Aureobasidium melanogenum CBS 110374
Aurpu_var_nam1	saprophyte	Also found in arctic glaciers	FilteredModels1	Aureobasidium pullulans var. namibiae CBS 147.97	1043004	Aureobasidium namibiae CBS 147.97
Aurpu_var_pul1	saprophyte	Also found in arctic glaciers	FilteredModels1	Aureobasidium pullulans var. pullulans EXF-150	1043002	Aureobasidium pullulans EXF-150
Aurpu_var_sub1	saprophyte	Also found in arctic glaciers	FilteredModels1	Aureobasidium pullulans var. subglaciale EXF-2481	1043005	Aureobasidium subglaciale EXF-2481
Bauco1	saprophyte	Grows near alcohol vapors	FilteredModels1	Baudoinia compniacensis UAMH 10762 (4089826) v1.0	717646	Baudoinia compniacensis UAMH 10762
Bimnz1	saprophyte	maybe a weak pathogen	FilteredModels2	Bimuria novae-zelandiae CBS 107.79 v1.0	1447943	Bimuria novae-zelandiae CBS 107.79
Botdo1_1	plant pathogen		ExternalModels	Botryosphaeria dothidea	55169	Botryosphaeria dothidea
Bysci1	saprophyte	maybe a weak pathogen	FilteredModels1	Byssothecium circinans CBS 675.92 v1.0	147558	Byssothecium circinans
Cenge3	mycorrhizal		FilteredModels1	Cenococcum geophilum 1.58 v2.0	794803	Cenococcum geophilum 1.58
