PFid	pfam_name	Aaoar1	Aciri1_meta	Altal1	Altbr1	Amnli1	Aplpr1	Aspnid1	Aulhe2	Aurpu_var_mel1	Aurpu_var_nam1	Aurpu_var_pul1	Aurpu_var_sub1	Bauco1	Bimnz1	Botci1	Botdo1_1	Bysci1	Cenge3	Cerzm1	Clael1	Clafu1	Cocca1	CocheC5_3	Cocim1	Coclu2	Cocmi1	Cocsa1	Cocvi1	Corca1	Cucbe1	Decga1	Delco1	Didex1	Disac1	Dotse1	Dotsy1	Erebi1	Fusgr1	Glost2	Hyspu1_1	Karrh1	Lenfl1	Lepmu1	Leppa1	Linin1	Lizem1	Lopma1	Lopmy1	Macan1	Macph1	Maseb1	Melpu1	Micmi1	Mycfi2	Mycgr3	Myrdu1	Mytre1	Neopa1	Neucr2	Ophdi1	Parsp1	Patat1	Photr1	Phycit1	Pieho1_1	Plesi1	Polci1	Polfu1	Psehy1	Pyrco1	Pyrsp1	Pyrtr1	Pyrtt1	Rhili1	Rhyru1_1	Sacpr1	Sclsc1	Sepmu1	Seppo1	Setho1	Settu1	Spofi1	Stano2	Stasp1	Ternu1	Totfu1	Trepe1	Tribi1	Tryvi1	Tubme1	Venin1	Venpi1	Veren1	Wesor1	Zasce1	Zoprh1	Zymar1	Zymps1
PF00001.16	7tm_1	4	0	1	0	1	2	0	1	0	0	0	0	0	1	1	4	0	2	0	0	0	2	2	1	2	2	2	2	3	0	0	0	2	0	0	1	0	5	2	1	2	2	2	2	1	1	2	2	1	2	0	2	0	0	1	3	2	2	2	1	1	0	1	4	0	1	0	2	0	2	0	0	0	0	0	2	0	1	1	0	1	0	1	0	0	0	1	1	2	2	2	1	0	1	0	1	1	1
PF00002.19	7tm_2	0	0	1	2	1	0	1	3	2	2	1	1	2	1	2	1	1	2	1	1	0	1	0	1	0	0	0	0	1	2	0	1	2	0	2	0	0	2	2	1	1	1	1	1	1	1	1	0	2	2	1	0	1	1	1	1	0	0	2	1	0	0	1	2	0	0	0	2	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	0	1	1	0	1	2	2	1	0	1	0	0	2	1	1
PF00003.17	7tm_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PF00004.24	AAA	57	48	58	44	68	63	48	50	43	45	50	44	46	70	53	72	67	73	51	55	54	49	48	46	48	47	47	50	68	54	51	51	50	48	50	51	48	57	77	72	64	64	48	66	61	50	72	61	51	58	58	65	63	58	50	46	66	53	54	63	65	52	54	51	45	53	47	72	56	48	61	54	56	64	64	50	48	48	47	57	45	50	54	62	47	60	87	52	71	50	59	57	63	46	63	107	51	51
PF00005.22	ABC_tran	59	34	42	38	51	42	50	37	43	46	49	44	31	47	55	59	50	41	40	46	47	45	43	42	43	40	44	41	56	43	37	34	39	39	33	38	36	62	47	49	49	59	39	49	60	40	47	46	37	56	40	55	47	40	44	38	48	45	37	45	49	36	44	30	25	44	46	44	38	34	53	41	41	35	49	33	46	34	36	44	40	33	43	44	31	48	54	32	30	34	41	37	53	42	44	63	37	40
PF00006.20	ATP-synt_ab	4	4	4	5	4	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4	4	4	4	4	4	4	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4	4
PF00009.22	GTP_EFTU	30	31	28	24	30	30	28	31	35	34	32	34	30	30	27	28	31	28	27	29	28	29	29	30	29	29	29	29	30	31	30	30	31	30	30	31	29	32	30	27	30	30	28	31	31	30	31	31	27	29	33	30	31	29	28	31	29	25	36	29	31	30	31	29	32	29	29	29	30	30	30	29	29	29	27	27	28	27	28	28	28	31	29	29	32	31	30	28	29	32	30	28	29	34	27	28	26	27
PF00010.21	HLH	10	11	12	11	13	10	13	8	13	13	13	15	9	11	9	12	10	11	12	10	14	13	13	8	14	15	16	15	12	12	12	10	14	10	14	10	11	16	10	10	10	14	9	13	11	11	12	10	12	16	10	10	10	12	11	8	12	7	19	11	10	9	12	10	8	10	9	10	10	8	13	11	12	10	9	10	9	13	12	12	14	8	12	16	11	10	12	10	8	8	13	11	11	11	13	15	10	11
PF00011.16	HSP20	3	2	3	3	3	2	5	2	2	2	3	3	3	3	2	3	3	2	2	3	2	3	3	2	3	3	5	3	3	3	4	4	3	2	2	3	3	3	2	3	3	3	3	3	4	3	3	3	3	4	3	3	3	2	3	2	3	3	3	3	3	2	3	3	4	3	2	3	2	6	3	2	2	6	3	2	2	2	2	3	3	2	3	3	3	6	4	4	2	3	3	3	5	2	2	4	3	3
PF00012.15	HSP70	12	9	11	7	15	9	13	10	12	11	10	10	9	13	12	12	13	15	12	12	11	10	11	15	11	10	10	10	15	13	12	11	9	9	12	12	10	12	17	12	11	12	10	13	11	11	12	13	11	11	11	14	12	10	11	10	13	10	11	12	11	9	11	11	9	13	11	11	9	12	15	11	10	13	14	9	9	9	10	11	10	9	11	12	9	12	13	10	9	17	12	12	12	9	14	16	9	9
PF00013.24	KH_1	7	6	6	8	8	7	7	8	8	8	8	8	8	7	9	8	7	7	7	7	7	7	7	7	7	7	7	7	8	6	8	8	6	8	7	7	8	8	8	8	6	8	8	8	7	8	7	6	6	8	7	7	6	8	8	8	8	8	12	6	6	7	7	8	8	6	6	7	7	9	7	8	7	8	6	7	8	7	6	7	7	7	8	7	8	9	7	9	7	8	8	8	7	6	7	7	8	9
PF00016.15	RuBisCO_large	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF00017.19	SH2	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	1	1	1	0	1	0	1	1	0	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	1	1	1	1	1	0	0
PF00018.23	SH3_1	19	17	20	18	21	20	22	20	19	19	19	17	21	21	17	20	19	21	16	19	20	19	18	20	20	19	20	19	19	19	19	18	19	18	21	19	20	18	20	21	20	21	19	19	22	19	18	18	18	19	20	18	18	18	17	21	23	16	23	22	18	20	19	19	19	20	20	19	20	18	19	20	20	19	17	17	17	19	20	18	19	19	16	20	17	21	20	20	19	17	25	20	19	19	17	25	20	20
PF00022.14	Actin	10	10	10	11	10	10	10	10	10	10	10	10	10	10	7	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	10	11	10	10	10	10	10	10	11	10	11	10	10	10	10	11	9	12	10	10	10	10	10	10	10	9	10	10	10	10	11	11	10	11	10	10	10	10	10	10	10	10	11	10	10	10	10	10	11	10	8	10	10	10	12	10	10
PF00023.25	Ank	66	28	55	32	103	94	55	47	34	24	42	22	29	111	63	116	125	280	40	69	34	70	83	44	84	69	71	76	96	49	64	47	56	73	34	49	51	93	180	88	74	166	30	170	130	49	103	86	76	54	46	128	56	37	36	34	134	29	52	115	61	34	61	30	13	54	58	120	48	202	83	53	47	49	85	18	46	26	25	78	50	33	62	78	34	47	112	26	123	15	36	37	108	41	63	362	41	48
PF00024.21	PAN_1	0	0	1	1	2	0	1	4	5	3	4	3	1	2	1	2	0	3	6	1	8	3	5	3	6	5	3	5	3	1	2	0	3	2	3	1	0	9	3	1	1	2	1	2	1	1	3	4	3	3	2	3	1	0	5	3	3	2	1	6	3	1	4	1	1	2	3	3	1	0	1	2	1	0	3	1	2	0	1	2	2	2	3	4	4	3	1	1	3	0	2	0	0	0	3	1	4	10
PF00025.16	Arf	34	35	35	28	35	33	32	33	34	33	34	34	35	33	29	29	34	36	36	35	33	34	33	38	36	34	34	35	35	35	36	34	35	32	33	36	34	37	36	31	36	35	30	39	36	36	33	36	36	29	34	36	34	35	36	34	40	28	40	37	36	34	35	33	34	36	34	36	34	38	36	30	34	33	33	32	29	35	35	32	37	34	29	35	34	38	35	35	33	38	36	31	33	31	35	35	33	32
PF00026.18	Asp	15	15	14	11	24	16	10	14	15	15	17	14	14	12	19	27	13	19	16	12	20	20	28	5	18	19	19	18	18	16	13	11	14	10	15	12	14	19	19	15	14	16	12	15	20	15	14	20	14	23	13	16	37	17	21	23	22	20	20	16	19	14	16	15	18	12	14	16	8	4	19	14	15	25	13	19	12	12	11	18	16	12	15	17	16	25	20	16	21	3	22	18	18	14	31	26	25	26
PF00027.24	cNMP_binding	4	4	4	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4	4	3	5	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	3	6	4	4	4	4	4	4	4	4	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4	4	4	4	4	4	4
PF00030.14	Crystall	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
PF00032.12	Cytochrom_B_C	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
PF00033.14	Cytochrom_B_N	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF00034.16	Cytochrom_C	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PF00035.20	dsrm	1	1	1	1	1	1	2	2	3	2	1	2	3	1	0	1	2	2	0	1	3	1	1	2	1	1	1	1	1	1	1	1	1	4	1	1	0	2	0	1	1	2	1	1	2	1	1	2	2	1	2	1	2	1	2	1	2	2	2	2	0	2	1	2	1	1	3	1	2	3	2	1	1	2	1	3	0	3	2	1	1	1	1	2	1	1	1	3	3	2	3	1	1	1	3	2	2	2
PF00036.27	EF-hand_1	8	8	7	6	9	10	10	8	9	9	9	9	7	8	10	9	8	10	8	8	10	7	7	10	7	7	7	7	7	7	7	9	7	8	9	8	7	9	10	9	9	8	7	10	8	7	5	9	7	10	8	7	8	7	8	9	9	8	11	8	8	10	8	10	7	6	8	10	7	6	9	7	7	7	8	7	9	8	6	6	7	9	7	7	8	8	8	7	7	8	7	7	8	8	9	7	8	7
PF00037.22	Fer4	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	0	2	1	2	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1	2	3	1	1	1	1	1	1	1	2	1	1	2	1	1	2	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	1	2	2	2	1	1	1	1	2	2
PF00041.16	fn3	1	1	1	1	2	0	1	1	1	1	1	1	0	2	1	1	2	1	2	1	1	2	2	0	2	1	2	2	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	2	3	1	1	2	1	2	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	2	2	1	1	0	1	1	1	1	2	1	0	1	2	2
PF00042.17	Globin	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	2	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0
PF00043.20	GST_C	15	13	16	12	17	14	13	16	16	19	18	15	15	17	18	22	20	14	20	17	21	10	13	7	9	11	11	12	20	17	9	12	14	14	23	18	11	17	18	19	18	24	13	14	15	16	25	24	14	20	17	19	8	17	18	20	19	16	7	21	21	10	15	13	5	15	15	22	20	10	18	10	5	35	19	14	12	15	13	19	10	6	12	21	17	9	20	6	22	8	15	15	12	9	35	17	20	24
PF00044.19	Gp_dh_N	2	1	1	1	2	1	2	1	1	1	2	2	1	1	2	1	1	1	1	1	1	2	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
PF00045.14	Hemopexin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF00046.24	Homeobox	10	4	12	5	9	6	7	6	7	7	6	6	5	9	5	13	6	13	4	8	7	10	7	6	8	8	9	9	11	9	9	7	7	5	6	7	8	12	15	10	8	9	7	10	11	9	9	11	9	9	8	7	6	4	4	8	8	4	7	10	9	8	8	6	4	8	6	12	13	3	11	10	10	13	9	8	7	5	6	12	8	9	9	12	5	9	10	6	8	4	6	6	9	7	6	12	5	5
PF00056.18	Ldh_1_N	5	2	6	6	3	2	4	2	3	3	3	3	2	4	2	2	3	3	3	5	2	5	4	2	5	6	5	5	4	5	4	3	4	2	2	5	4	3	2	2	4	4	5	2	3	3	5	2	4	2	3	3	2	3	2	2	2	2	4	5	6	2	5	2	2	3	2	3	3	2	4	4	4	2	2	2	2	3	3	4	6	3	4	4	4	3	3	4	2	2	3	3	3	3	5	3	2	2
